left_genes,left_loadings,right_genes,right_loadings
AT1G12000,-0.009214464712675265,AT1G07667,0.0007199009069247666
AT1G12080,-0.010239139708744124,AT1G07725,0.0010498721293168707
AT1G12110,-0.009116088768449103,AT1G07803,0.00035513739873293594
AT1G13080,-0.008967966459723429,AT1G07847,0.0002910305457237972
AT1G13280,-0.009588178156841919,AT1G07893,0.002119306455063544
AT1G14210,-0.009581970718388268,AT1G07907,0.00024316307754669198
AT1G14350,-0.00912281258819632,AT1G07920,0.00829487773628468
AT1G14690,-0.009062842423738532,AT1G07930,0.007773948095086807
AT1G14900,-0.009242856639727091,AT1G07940,0.00938720940738112
AT1G15250,-0.008990160028856007,AT1G07983,0.0006643739509006305
AT1G16340,-0.009039716008851909,AT1G08003,0.000271222858832444
AT1G16460,-0.009037796029638282,AT1G08135,0.00014079615015420106
AT1G16880,-0.009274903065706736,AT1G08170,0.00033868649098277824
AT1G17140,-0.009679383437465387,AT1G08273,0.0037503203704653204
AT1G17190,-0.008981778751318713,AT1G08317,0.0010674513346304263
AT1G17200,-0.009461221718358835,AT1G08477,0.0019571539431319654
AT1G17745,-0.009077658477140055,AT1G08537,0.00019748747266956334
AT1G18250,-0.009364007245596917,AT1G08543,0.003301984022009393
AT1G18450,-0.009032270709581907,AT1G08657,0.0006605752623106629
AT1G18800,-0.00907389233615525,AT1G08667,0.00028152688797270024
AT1G18880,-0.009052255794012101,AT1G08723,0.0006339045459499327
AT1G19120,-0.009281185487998295,AT1G08763,0.0004912665666991603
AT1G19715,-0.009097241564007099,AT1G08790,0.00014678478396806306
AT1G19835,-0.009024774014356775,AT1G08803,0.0002869213735236568
AT1G20010,-0.010413327292947683,AT1G09027,0.0007438332592453722
AT1G20090,-0.009407363991127586,AT1G09053,0.0012071469476471301
AT1G20190,-0.009056862627580896,AT1G09067,0.00031889041400799667
AT1G20540,-0.009219108769547,AT1G09163,0.00023894380903630806
AT1G20810,-0.008968787793153722,AT1G09167,0.00019269267530036866
AT1G20850,-0.010468486062130236,AT1G09233,0.0001467910159118171
AT1G20950,-0.00916919394675675,AT1G09313,0.00023053747796147135
AT1G21440,-0.010163556472502088,AT1G09323,0.00026882353974137097
AT1G21880,-0.009239419893371667,AT1G09327,0.0011016964490726602
AT1G22360,-0.009341681643070657,AT1G09383,0.00018357288225123264
AT1G23080,-0.009609302124178114,AT1G09387,0.0002936707403110661
AT1G23480,-0.009234866208215035,AT1G09417,0.00012513597760318752
AT1G23820,-0.00913814762295222,AT1G09433,0.0004559107477565387
AT1G24360,-0.009116488876995642,AT1G09443,0.0002923397317679235
AT1G25230,-0.010277066537524871,AT1G09503,0.00013054770344545332
AT1G25450,-0.009083353594903167,AT1G09507,0.00018403225852512523
AT1G25520,-0.00897651466444693,AT1G09523,0.00039693074084086314
AT1G26640,-0.009341021566532146,AT1G09617,0.000532885233617546
AT1G26750,-0.009122145006231949,AT1G09623,0.000765767245514396
AT1G27030,-0.009909789724067681,AT1G09677,0.0005169240952372938
AT1G28100,-0.009305889674017465,AT1G09713,0.0006860844722525837
AT1G28110,-0.009518938219199281,AT1G09827,0.0002297547958224556
AT1G28130,-0.00906456663164695,AT1G09843,0.0006144174865910331
AT1G28290,-0.011044237304899332,AT1G09887,0.00017995048635723556
AT1G28330,-0.009586068669056145,AT1G09903,0.0001921036869841426
AT1G28400,-0.009161741046792784,AT1G09987,0.0003070137971915599
AT1G28440,-0.009061504507786368,AT1G10620,0.00016451415670909678
AT1G28580,-0.00938293320826343,AT1G10940,0.00043624766065339756
AT1G28670,-0.00913726242944313,AT1G11090,0.0019236697298193606
AT1G28680,-0.009428337289014039,AT1G11510,0.00025525488285217825
AT1G29050,-0.010180570978281277,AT1G11520,0.000157111703381674
AT1G29250,-0.009039554550374184,AT1G11595,0.0001344294904729585
AT1G29520,-0.009798827697138131,AT1G11610,0.0020917591377887642
AT1G29660,-0.009456897094170798,AT1G11770,0.00013115050191773718
AT1G29670,-0.009357193136136973,AT1G12510,0.00021942233822450443
AT1G29965,-0.009103800429663581,AT1G13090,0.0015475888842575356
AT1G30510,-0.009607888110656453,AT1G13110,0.0008445658457944656
AT1G30690,-0.009335808500136485,AT1G13890,0.00014300785367188566
AT1G30820,-0.008957955190081326,AT1G14940,0.0006270979319610488
AT1G31070,-0.009275250045486325,AT1G14950,0.00019130938231543443
AT1G31180,-0.009273091737732327,AT1G15700,0.0011808160590566275
AT1G31230,-0.009455348447747742,AT1G17010,0.00040037389040560015
AT1G31710,-0.009437336245018545,AT1G17250,0.000791276254743349
AT1G31770,-0.009074201844182145,AT1G17744,0.004903838736360886
AT1G32070,-0.008984942133928538,AT1G17820,0.00031422970386480093
AT1G32450,-0.009721534178488719,AT1G18310,0.0001447623573735477
AT1G33040,-0.009057698487571444,AT1G18510,0.00014934143173828826
AT1G33170,-0.00947642569148321,AT1G19090,0.0001266602804513962
AT1G33780,-0.009563075187446257,AT1G19250,0.009522163117310238
AT1G34010,-0.009047226289083134,AT1G20320,0.00015421493966230325
AT1G34430,-0.009399022185730467,AT1G20520,0.0001264657042143352
AT1G35260,-0.008955911430085133,AT1G21945,0.00017127213387556117
AT1G41830,-0.009773928063563276,AT1G22610,0.0019996603297651517
AT1G42480,-0.009241153824305088,AT1G24110,0.00023357540964386446
AT1G43850,-0.009036031129503639,AT1G24733,0.00017658960564911704
AT1G44760,-0.009422740062920229,AT1G25310,0.00034689368120660667
AT1G44790,-0.009081760367168446,AT1G26220,0.0024564542520482545
AT1G44800,-0.010683843696155895,AT1G26400,0.0004967808353088623
AT1G44835,-0.009051337547679696,AT1G26799,0.00021064702689641416
AT1G45130,-0.01030210167332565,AT1G28265,0.00014196143915119297
AT1G45201,-0.009674012407993189,AT1G28640,0.00040666111046775246
AT1G47290,-0.009189831304098128,AT1G29360,0.00024152000234425758
AT1G47670,-0.009187576011941976,AT1G29780,0.00013738553974731657
AT1G47740,-0.009238487858815916,AT1G30800,0.00028969326905749546
AT1G47970,-0.009127502693521517,AT1G31450,0.00012796703822267745
AT1G48480,-0.009606513489682953,AT1G31920,0.0009274280853062083
AT1G48600,-0.009419023356293387,AT1G32390,0.000130719645281878
AT1G49430,-0.010364127530260114,AT1G32640,0.01344348970799608
AT1G49580,-0.009539113012066499,AT1G32710,0.00047581567511901254
AT1G49600,-0.009004812055535013,AT1G33160,0.00013892138077616257
AT1G49730,-0.009095097325908541,AT1G34660,0.0001481163762368841
AT1G50430,-0.00931922012110787,AT1G35200,0.00495129211274838
AT1G50490,-0.009591607351735199,AT1G35210,0.00817823770066446
AT1G50900,-0.009040785769563759,AT1G35550,0.003746670958101321
AT1G51070,-0.01000993677943927,AT1G36105,0.0001878135401846972
AT1G52150,-0.009254670464148967,AT1G36700,0.00014953961133625402
AT1G52190,-0.00947935443153332,AT1G43895,0.0001820252472453771
AT1G52280,-0.009139021067851902,AT1G43910,0.00478654589958318
AT1G52400,-0.009549219101800678,AT1G45140,0.0003619848422975604
AT1G52410,-0.009109990255977883,AT1G45165,0.0009702026580060121
AT1G52670,-0.009461004583071966,AT1G47389,0.00015258128603406795
AT1G53280,-0.009091993171971546,AT1G47495,0.00014794154553353047
AT1G53300,-0.00916411148747865,AT1G48750,0.002045358611193591
AT1G53440,-0.009586431322879105,AT1G49240,0.004631719479105949
AT1G53520,-0.00965469364095258,AT1G50330,0.00014262248952143168
AT1G53580,-0.00908309007380326,AT1G50659,0.0003970433701115762
AT1G53730,-0.00930726176801774,AT1G50810,0.00013923996924470117
AT1G53800,-0.009085602003550155,AT1G51490,0.0001287455101742246
AT1G54000,-0.009439230523717566,AT1G51640,0.0009223607089361515
AT1G54010,-0.009837979434194597,AT1G51915,0.003379533568979984
AT1G54690,-0.009338889314852366,AT1G51920,0.011398954899754999
AT1G55020,-0.008973723154415726,AT1G51930,0.00713683660757875
AT1G55140,-0.009405158314185669,AT1G53540,0.0042755983033729164
AT1G55260,-0.009344516196493222,AT1G53541,0.00027668643111091265
AT1G55340,-0.00921310243975484,AT1G53550,0.0003827131063518404
AT1G55360,-0.009937800523928765,AT1G53610,0.0015987525965325848
AT1G55490,-0.00933957231019438,AT1G53620,0.008141647723861223
AT1G56720,-0.009018874401104725,AT1G53625,0.00807600011526956
AT1G58080,-0.009082739360730866,AT1G54600,0.00012432045487560404
AT1G58270,-0.009696558421442576,AT1G54957,0.00026719988522541025
AT1G60070,-0.009207909755087718,AT1G55670,0.0035758184923943264
AT1G60550,-0.009168820967713915,AT1G55673,0.001984301176359591
AT1G60800,-0.009418591657042577,AT1G56580,0.0037174016514738163
AT1G60810,-0.010170670299724849,AT1G59860,0.009519061529289705
AT1G60989,-0.009708909184088345,AT1G59865,0.006556248544866089
AT1G60990,-0.009375510619076235,AT1G60410,0.00022013266752523035
AT1G62480,-0.009254240789402814,AT1G60510,0.0011197983454773117
AT1G62570,-0.009099875360480611,AT1G63760,0.000265458850685187
AT1G62640,-0.00922325068146414,AT1G64420,0.00016242682817178678
AT1G62660,-0.01004292249307595,AT1G64730,0.00021878445108900304
AT1G62800,-0.009703136039482193,AT1G65347,0.000268942352314732
AT1G63010,-0.008995376744471949,AT1G65483,0.007645273412807393
AT1G63220,-0.00941152479067307,AT1G66245,0.00013911343167787846
AT1G63460,-0.009345976470097406,AT1G66770,0.0005538847100653307
AT1G63800,-0.009247147077530158,AT1G68200,0.007815514015837691
AT1G64200,-0.009854383460758474,AT1G69543,0.0004488507306324258
AT1G64390,-0.009072851485815124,AT1G69940,0.00014015690397824787
AT1G64640,-0.009086511062798628,AT1G70335,0.0011049631657967184
AT1G64650,-0.008998717081268693,AT1G70840,0.0002490114709432893
AT1G65590,-0.009339341282152348,AT1G72570,0.0001896932864063842
AT1G66430,-0.009499912376432194,AT1G73510,0.00019636149862761748
AT1G67080,-0.009101977488585884,AT1G73805,0.008550157439177803
AT1G67750,-0.009246475687805126,AT1G74385,0.00048243343868393065
AT1G67870,-0.009599085174735428,AT1G74710,0.006012232489765846
AT1G68060,-0.009209629393092946,AT1G75830,0.0012895171425214205
AT1G68300,-0.01003850010580917,AT1G76750,0.00017214823879601265
AT1G68560,-0.009466519463601965,AT1G77100,0.0002773303224989071
AT1G68730,-0.009041859737133255,AT1G77120,0.004107718982036205
AT1G68760,-0.009018381643192694,AT1G77138,0.0003863274092986927
AT1G69040,-0.009307456875510003,AT1G77240,0.0012486855327215956
AT1G69420,-0.009469853215702102,AT1G77950,0.00013971016914054993
AT1G69700,-0.009991464125090667,AT1G79240,0.00021487897205184762
AT1G69770,-0.009012988329607546,AT1G79850,0.0029339032062329325
AT1G69780,-0.009506392380035622,AT1G79960,0.0004882529710936535
AT1G70280,-0.009129716289936352,AT1G80165,0.00015104664032537508
AT1G70330,-0.00965480690804062,AT1G80310,0.0003698469208182163
AT1G70370,-0.009302516554869508,AT2G01008,0.0003578288026521765
AT1G70660,-0.00999616657947963,AT2G01667,0.00014258750564737638
AT1G70710,-0.009435508091401194,AT2G01755,0.0016947869496597647
AT1G70830,-0.00958631482677576,AT2G02770,0.00015847035541007948
AT1G70850,-0.010094635171282073,AT2G02835,0.00012426328099235815
AT1G70890,-0.010108158464999718,AT2G03520,0.0002593295465092049
AT1G71260,-0.009039074934218296,AT2G03840,0.00017733215142068544
AT1G71695,-0.00983767841777086,AT2G03895,0.0007101128554827004
AT1G72050,-0.009005987578521715,AT2G03995,0.0004334584302371639
AT1G72970,-0.00991245707938313,AT2G04220,0.00012608317390162536
AT1G73330,-0.010272060724501179,AT2G04260,0.0003731469589056317
AT1G73600,-0.009504438400612105,AT2G04365,0.00016262742528262318
AT1G74030,-0.009134898415436805,AT2G04430,0.006797206075330989
AT1G74690,-0.00898271104377292,AT2G04440,0.0038310741244171015
AT1G74880,-0.009196250591068086,AT2G04450,0.008214077052677501
AT1G75500,-0.010797234750406996,AT2G04495,0.0009945676437161175
AT1G75680,-0.009710067130176367,AT2G05155,0.00018889139063282413
AT1G75710,-0.009035610495857164,AT2G05255,0.0010846632893136874
AT1G75750,-0.009940218583023915,AT2G05895,0.0005776781029716385
AT1G75780,-0.009836795363595649,AT2G06355,0.0002644434597962957
AT1G75840,-0.009327976734141007,AT2G06525,0.00015457332257730872
AT1G76300,-0.008988042878821757,AT2G06695,0.00014273557073583902
AT1G76405,-0.009477866173334164,AT2G06955,0.00013946970338105626
AT1G76450,-0.009201477777301272,AT2G07080,0.00024644379417902387
AT1G76540,-0.009764531963826923,AT2G07165,0.0037616434953583397
AT1G76790,-0.010257434832758828,AT2G07175,0.0018999209973320553
AT1G77330,-0.009034825795440222,AT2G07275,0.00048675006416550113
AT1G77590,-0.009290680050609035,AT2G07325,0.0005180453615437855
AT1G77690,-0.009403004474080885,AT2G07495,0.00017157378767804137
AT1G78060,-0.009374443572607317,AT2G07515,0.0010776411792454428
AT1G78370,-0.009843659887133916,AT2G07595,0.00012419759924270983
AT1G78660,-0.009577443194363228,AT2G07599,0.0008695286200870912
