genes,loadings
AT1G03100,-0.004186671790758071
AT1G03103,0.00026641869171722363
AT1G03106,-0.0014131866369937812
AT1G03110,-0.008068885544435795
AT1G03120,-0.002580025420682933
AT1G03130,-0.005555207371305064
AT1G03140,-0.006878530297785377
AT1G03150,-0.008713465571681806
AT1G03160,-0.008135959665125085
AT1G03165,-0.0027660746282544466
AT1G03170,-0.002179897968821383
AT1G03180,-0.005884041927629335
AT1G03190,-0.006972273399011809
AT1G03200,-0.006155266784947015
AT1G03210,-0.008335766183230868
AT1G03220,-0.00673981802689232
AT1G03230,-0.006548990642180915
AT1G03240,-0.0010070843807811012
AT1G03250,-0.00807690328349459
AT1G03260,-0.00735626799768137
AT1G03270,-0.005652236907237018
AT1G03280,-0.008575506383964182
AT1G03290,-0.007656497377606562
AT1G03300,-2.68073289873601e-05
AT1G03310,-0.007755207264467974
AT1G03320,-0.0020045355813063403
AT1G03325,-2.3685379123677487e-05
AT1G03330,-0.008544807308676967
AT1G03340,-0.0053451392708066614
AT1G03350,-0.006808033115053268
AT1G03360,-0.00845486766497832
AT1G03365,-0.007088763273472666
AT1G03370,-0.0072246416513662565
AT1G03380,-0.007165164141581682
AT1G03390,-0.00029753355771321697
AT1G03395,-3.9411239381145575e-06
AT1G03400,-0.007298590722537418
AT1G03410,-0.006045269812434577
AT1G03420,-0.006956254137396602
AT1G03430,-0.008071343163537944
AT1G03440,-0.006442724625338016
AT1G03445,-0.000709526015619611
AT1G03457,-0.007754376353936493
AT1G03470,-0.007079331294453057
AT1G03475,-0.00792365976512187
AT1G03490,-0.00011919034567796637
AT1G03495,-0.0058735292023616124
AT1G03502,-0.004527371580126066
AT1G03506,-0.003848397611436588
AT1G03510,-0.003984988410566829
AT1G03515,-2.4307457006634656e-05
AT1G03520,-0.007487775908287343
AT1G03530,-0.007225467057620896
AT1G03540,-0.003693479871831901
AT1G03545,-0.005020852366550745
AT1G03550,-0.00816512723829007
AT1G03560,-0.006364202143167989
AT1G03570,-2.5586555424495878e-05
AT1G03580,-0.003823789293796029
AT1G03590,-0.008344504347915269
AT1G03600,-0.0028979550824003624
AT1G03610,-0.007771981164090502
AT1G03620,-0.0045240199029098075
AT1G03630,-0.008200074156094278
AT1G03640,-4.582588722630429e-06
AT1G03650,-0.006285504255452402
AT1G03660,-0.004945830779881043
AT1G03670,-4.088473702428582e-05
AT1G03680,-0.00698270678308687
AT1G03687,-0.008277097498977776
AT1G03700,-0.0035404912599267327
AT1G03710,-0.001995352064860208
AT1G03720,-0.0003158473744613457
AT1G03730,-0.006343804451053708
AT1G03740,-0.007563617681742483
AT1G03743,-0.00041568333585607426
AT1G03746,-0.0008027765352196381
AT1G03750,-0.005739614975504167
AT1G03760,-0.00745268971309746
AT1G03770,-0.006776484641828869
AT1G03780,-0.007850560543202122
AT1G03790,-0.0015600580592718956
AT1G03800,-0.0027185507643196017
AT1G03810,-0.0001696977734046494
AT1G03820,-0.007795223739375212
AT1G03830,-0.00684167452428431
AT1G03840,-0.004949266735862169
AT1G03850,-0.006755056454316371
AT1G03860,-0.007878385052587956
AT1G03870,-0.009236129885731905
AT1G03880,0.00013928825676139502
AT1G03890,0.0005883582322166569
AT1G03900,-0.007356844082683854
AT1G03905,-0.005961004360467077
AT1G03910,-0.008149069155859756
AT1G03920,-0.004766572491009243
AT1G03930,-0.007829537413043361
AT1G03935,-0.005864782375608872
AT1G03940,-0.005287760416154554
AT1G03950,-0.008493688758557508
AT1G03960,-0.007142947910493985
AT1G03970,-0.006477487383866101
AT1G03980,-0.0025902554700516947
AT1G03982,3.661089636590503e-05
AT1G03987,-0.0014299620951910242
AT1G03990,-0.00396076719135041
AT1G03993,0.0007753250992862085
AT1G03997,-0.00014270275656722456
AT1G04000,-0.005908235721711137
AT1G04003,-1.744480734569363e-05
AT1G04007,-0.006327651558495378
AT1G04010,-0.006895330547065522
AT1G04013,-0.004280886855043709
AT1G04017,0.000504430240560793
AT1G04020,-0.007662044352076627
AT1G04023,4.666544457167088e-05
AT1G04030,-0.006987658536894924
AT1G04033,-0.0001673819294280798
AT1G04037,-0.003939238026590842
AT1G04040,-0.010565297901822928
AT1G04043,-0.00016314362515971662
AT1G04047,-0.0024362394168346278
AT1G04050,-0.005422577993971834
AT1G04053,-0.0047484955063111164
AT1G04057,-4.969893019203048e-05
AT1G04063,0.00013276456202588623
AT1G04067,-0.0036332411514822262
AT1G04070,-0.006990344433588301
AT1G04073,-0.004333390703872363
AT1G04077,0.000680882126668078
AT1G04080,-0.008727301442625976
AT1G04083,-0.002255970303703688
AT1G04087,0.00012413106354154682
AT1G04090,-0.0025006785134438028
AT1G04093,-0.0005977869275262362
AT1G04097,-0.0011187967952963874
AT1G04100,-0.006020423249977122
AT1G04103,-0.00022674065583653716
AT1G04105,-1.5082538038827291e-05
AT1G04110,-0.004643527065682144
AT1G04117,-0.004562848797369126
AT1G04120,-0.005914407059423776
AT1G04123,-0.0009807346493771153
AT1G04127,-0.0005540121350528821
AT1G04130,-0.0074779650666045435
AT1G04133,-0.0009536137740524295
AT1G04137,-6.860194960915694e-05
AT1G04140,-0.007654148853806793
AT1G04143,0.0001008571623867872
AT1G04147,-0.0030269720889541693
AT1G04150,-0.0012147533764887031
AT1G04153,-0.0013023315914137679
AT1G04157,-0.0010983389727500696
AT1G04160,-0.006087816459101272
