AboveBelow,PC1,PC2
Other,-21.018617321229517,-9.272413429793708
Other,-28.720074596366228,-11.707357318952461
Other,-24.216499488804548,-11.148421755265005
Below,-19.286064903908848,-61.845308500418284
Below,-21.41049713669468,-62.063666725405774
Below,-21.174483402029903,-62.84695915662375
Below,-17.66511609850601,-60.22520018759669
Below,-19.6373416262669,-61.923926338521014
WholePlant,-14.179432927888763,4.602841410044472
WholePlant,-5.293704045482038,0.9191625457750694
WholePlant,-6.943687825810947,20.489201860905357
WholePlant,-19.753380669199323,11.966643121833439
WholePlant,-17.59539479180608,4.9200900976323565
WholePlant,-6.943687825810947,20.489201860905357
WholePlant,-12.04716994112288,20.504469547119978
WholePlant,-22.786865275186774,10.035333788982612
WholePlant,-18.69267081046477,4.9031730174872985
WholePlant,0.5850239508173554,6.681530075505792
WholePlant,-0.10852168291172232,6.383631149048478
WholePlant,-16.48915940844343,6.871116061379801
WholePlant,0.5850239508173554,6.681530075505792
WholePlant,-0.10852168291172232,6.383631149048478
WholePlant,-11.069164453139749,18.74004220459316
WholePlant,-16.765234447425197,14.616302346483947
WholePlant,31.780204116396824,21.49162917981549
WholePlant,-29.18930259028923,-9.602876868613476
WholePlant,-23.54266012839298,-8.52368923587137
WholePlant,-14.44420272228786,18.962660878425066
WholePlant,-4.347881262823263,17.43831369003243
Other,-24.641557294740732,10.572460544252205
Other,-25.00141718653482,9.527751142203043
Other,-26.674596833518194,6.993482570961859
Other,-24.007347854858885,10.649579269518796
Other,-26.150147049097274,7.002974792807497
Other,-26.77536313397313,4.04675665447391
Other,-32.73155556141839,-13.874845397515537
Other,-32.53958921625701,-14.87396725059248
Other,-34.0340636386367,-14.806496322888934
Other,-33.12845299700171,-14.740609048850983
Other,-31.302676060382467,-12.748940975313845
Other,-32.78223414078897,-15.182805185345154
WholePlant,4.804613543250809,34.76506223172398
WholePlant,-0.1379853623614532,30.99199922150905
WholePlant,-2.8718519766990043,23.692537850661065
WholePlant,0.458914120825377,28.883959251090644
Other,-16.896411363333534,-33.283219021823605
Other,-15.784887013510836,-30.203627604417015
Other,-16.63219502390901,-32.2381207275831
Other,-11.24450077252066,-27.481398625363884
Other,-10.943663260873757,-43.51723194364631
Other,-12.39293819531022,-37.6104496005913
Other,-6.636030512875956,-34.218204777241255
Other,-10.848862537175465,-41.49031361851545
Other,-11.49551796845344,-32.96301430240692
Other,5.9475372836407665,-23.726987468937764
WholePlant,-10.373719043302584,-21.842477319385644
WholePlant,-16.714840343703234,-20.314364033579675
WholePlant,-13.322416354375884,-18.074629383996605
Below,22.129045709963655,-80.04969795490186
Below,21.28128465944618,-80.058586997253
Below,22.918196417992583,-80.4200091202413
Below,10.89701354170746,-82.68216192916503
Below,10.426835955910498,-82.20585950064284
Below,12.124739389816588,-82.79380175149649
Below,22.101549617723496,-81.44904574613747
Below,32.41281684605009,-79.31847862415472
Below,21.45038798362735,-81.0873960765022
Below,11.22717241025065,-80.24333086967444
Below,14.117535923413604,-79.96879216125254
Below,13.587397281901413,-80.72517912114118
Below,24.262058876088545,-77.60528972057045
Below,23.88905095924548,-79.06851698398049
Below,22.579227512230013,-78.206745979107
Below,9.203409862681287,-81.51556874851718
Below,12.907605967337384,-81.11675080177264
Below,10.745886479051684,-81.20326912331653
Below,20.162878525361776,-77.92870347750434
Below,22.09146787414793,-78.14697239896567
Below,21.788807554180924,-76.86961186425593
Below,13.679256693065419,-78.35773559069494
Below,10.693585080412054,-75.75726140444318
Below,11.723140179470027,-78.67585934651905
Below,21.589123950798843,-79.39831756664007
Below,17.75366233442578,-75.44619266410491
Below,20.9726598420086,-80.77217187143168
Below,9.413895144974068,-81.42566704032635
