genes,loadings
AT1G06430,-0.012419465148065412
AT1G06440,-0.006960609063379566
AT1G06470,-0.013383971993568687
AT1G06510,-0.01467639597541159
AT1G06520,-0.006115517646802313
AT1G06550,-0.016584687248732393
AT1G06560,-0.01382036749710775
AT1G06570,-0.013063322557072137
AT1G06590,-0.01126997857101883
AT1G06660,-0.008589589136656608
AT1G06670,-0.012878063634248928
AT1G06680,-0.009755847244041146
AT1G06690,-0.014317233068914645
AT1G06710,-0.009112020557410871
AT1G06720,-0.013997428086256574
AT1G06730,-0.012761192167630235
AT1G06780,-0.011729998961604602
AT1G06790,-0.014464768904656393
AT1G06820,-0.015052185565360912
AT1G06850,-0.01266395365044643
AT1G06900,-0.014248728020203768
AT1G06923,-0.0019614888396837916
AT1G06950,-0.01578062778073686
AT1G07000,-0.009440637675409369
AT1G07010,-0.015964972180516335
AT1G07025,4.676775543621027e-05
AT1G07040,-0.013055973748888628
AT1G07050,-0.011832369456536429
AT1G07110,-0.015076045568440982
AT1G07140,-0.011919015735828502
AT1G07180,-0.012439522645714523
AT1G07190,5.2223880930082815e-06
AT1G07200,-0.012338626260276497
AT1G07210,-0.01445320135069101
AT1G07220,-0.012756906196920308
AT1G07270,-0.006164009459546243
AT1G07290,-0.007165339613874687
AT1G07320,-0.01261013664217789
AT1G07360,-0.012947700755581102
AT1G07370,-0.015475239631470745
AT1G07380,-0.011519779740964171
AT1G07420,-0.012901445715544854
AT1G07470,-0.01392486932451746
AT1G07510,-0.010012966521900675
AT1G07590,-0.005918623781101692
AT1G07615,-0.012457844837469251
AT1G07700,-0.014403286673647027
AT1G07710,-0.004742142538675522
AT1G07740,-0.009341300511397593
AT1G07780,-0.012381708841291444
AT1G07840,-0.01458980549406061
AT1G07890,-0.009853169548898472
AT1G07910,-0.006021994000557388
AT1G07950,-0.01322759985022423
AT1G07970,-0.012606099660144534
AT1G07980,-0.012965767272252755
AT1G08030,-0.01332297710503289
AT1G08060,-0.010506250286926415
AT1G08110,-0.015123561572972755
AT1G08125,-0.014773437547750965
AT1G08130,-0.014839233506830871
AT1G08160,-0.01185549446602233
AT1G08190,-0.012909544301500573
AT1G08200,-0.01319288434532019
AT1G08220,-0.012509598286732029
AT1G08260,-0.011056268091851612
AT1G08280,-0.010762386657057246
AT1G08300,-0.009138573021179822
AT1G08315,-0.007963651002211618
AT1G08380,-0.012586329076780955
AT1G08390,-0.014031101985652212
AT1G08410,-0.013060161449677556
AT1G08420,-0.013638031326666033
AT1G08460,-0.011790874639510613
AT1G08470,-0.014096559567966217
AT1G08480,-0.013297970949060817
AT1G08490,-0.012558328356857697
AT1G08500,-0.008827025569653025
AT1G08520,-0.01702578750718123
AT1G08540,-0.016186416169521687
AT1G08550,-0.014790668265089534
AT1G08560,-0.015838860356702466
AT1G08580,-0.014714760031290637
AT1G08600,-0.012303331219219059
AT1G08610,-0.011744214029927435
AT1G08640,-0.014303112372337423
AT1G08660,-0.014879063601692515
AT1G08670,-0.0032806879807444644
AT1G08680,-0.013439890187211482
AT1G08700,-0.012649575714554958
AT1G08710,-0.012604572014221117
AT1G08720,-0.012215079808435865
AT1G08750,-0.013470946937541603
AT1G08760,-0.01196180965007855
AT1G08780,-0.014183620454725222
AT1G08790,0.00027872182525910953
AT1G08830,-0.01496627759658532
AT1G08840,-0.01000230431905823
AT1G08845,-0.01274477221907181
AT1G08910,-0.012748397419832939
AT1G08960,-0.011689434420823161
AT1G08980,-0.016538000226223686
AT1G09000,-0.00936560273546154
AT1G09010,-0.014668190151582184
AT1G09020,-0.01421110661311348
AT1G09060,-0.014016074581708185
AT1G09100,-0.014466814371590616
AT1G09130,-0.012693911334016447
AT1G09160,-0.014527737540106445
AT1G09230,-0.013292325117257697
AT1G09280,-0.013335216133266053
AT1G09290,-0.01367147786435705
AT1G09300,-0.012503224132085862
AT1G09330,-0.013613355316514836
AT1G09340,-0.015475187339898139
AT1G09390,-0.014323385465706297
AT1G09430,-0.014337587997685267
AT1G09450,-0.00924837139915013
AT1G09470,-0.012579053529409434
AT1G09520,-0.011244262196150512
AT1G09530,-0.01311155566427436
AT1G09570,-0.0134911368963956
AT1G09575,-0.008492371076741868
AT1G09590,-0.012513615444330328
AT1G09620,-0.013410793793003422
AT1G09645,-0.012943061201420508
AT1G09700,-0.013056574862475872
AT1G09710,-0.011536136068531126
