AboveBelow,PC1,PC2
WholePlant,-89.55573600595181,-1539.7920718597102
Above,-66.22500542771142,-1550.1076793209108
Above,-65.17132317484632,-1550.6480945233695
Above,-66.02901950445849,-1550.1389169185309
Above,-66.20213687957482,-1550.1888813864143
Above,-70.38343401675726,-1552.0619817565623
Above,-68.89396288912296,-1550.3718938018997
Above,-67.39448368244958,-1551.0422491949953
Above,-68.08041694395908,-1552.3195439010165
Above,-81.3043298335084,-1503.4235682688936
Above,-80.36879483592547,-1527.6748366864003
Above,-84.75802832161806,-1510.3622489987074
Above,-82.49399005252909,-1486.4212158153987
Above,-79.82577758515326,-1519.4019911871094
Above,-77.86056218405355,-1530.8662617615278
Above,-85.26580985077588,-1458.571467570439
Above,-85.52426487945174,-1508.9721305509363
Above,-84.41777494429235,-1478.0124001566905
Above,-75.1263364726852,-1536.7861778686563
Above,-81.35429918975544,-1490.8513237039726
Above,-75.59712322022497,-1530.5822536983073
Above,-86.75691083274543,-1368.1922036619046
Above,-86.07182317915934,-1381.5430322000234
Above,-86.28229014726715,-1530.9852548007348
Above,-86.4630289120815,-1502.9761312600615
Above,-84.33317420139102,-1542.5289636679558
WholePlant,-78.35999202028442,-1558.0201982446374
WholePlant,-78.82993499876808,-1552.2141095207032
WholePlant,-85.76831476927431,-1532.0971991969247
Above,-83.32387355074486,-1561.4621332335698
WholePlant,-79.43007583132291,-1534.3736142187163
WholePlant,-77.28807487620927,-1538.9627143389928
Above,-91.0641566751688,-1556.3388462569417
Above,-91.96780011230999,-1557.569905251524
Above,-91.70077278692027,-1558.01459095494
Above,-83.96266267314836,-1566.0813589509858
Above,-83.05596765242888,-1564.967546415438
Above,-81.50320111785085,-1563.3224979052673
Above,-89.3941871350944,-1561.0525426384897
Above,-89.46739866473273,-1561.0541423293357
Above,-89.35628042265228,-1560.9338540273793
Above,-92.978710861717,-1545.3118439352306
Above,-90.3277865784817,-1545.3465231368675
Above,-92.57586446303134,-1546.101222832474
Above,-86.46043201199372,-1569.6431839216846
Above,-86.80898522475634,-1569.7968990130337
Above,-86.72189672082982,-1569.711564259526
Above,-77.09500702165641,-1555.9974831304578
Above,-83.28784646285133,-1559.2560629960221
Above,-84.37579759123574,-1560.6708033369662
Above,-89.33298950508839,-1538.3776690256223
Above,-88.69243275816358,-1538.5307415707846
Above,-89.59854950441829,-1534.3235727928197
Above,-90.8664899475931,-1497.7101533822952
Above,-91.12002143268244,-1491.23664378722
Above,-91.01772011692805,-1489.1575188380841
Above,-91.95709422990899,-1513.7699043973364
Above,-91.9651404241084,-1513.692767734113
Above,-91.93574053524405,-1515.4058423556987
Above,-89.9771646646645,-1531.248534661967
Above,-90.41627360773849,-1520.2587677652405
Above,-89.87822841325912,-1524.0748703582244
Above,-91.52270178956783,-1444.970484001007
Above,-90.57782712311135,-1448.6568888569493
Above,-90.47353392130324,-1435.544275674073
Above,-89.5727230196593,-1461.1030813111781
Above,-91.26025304196709,-1465.6777154575686
Above,-90.24023869981038,-1461.203487523076
Above,-88.21802815771682,-1396.6665039843801
Above,-88.92674521190735,-1386.0803298993835
Above,-88.56270843554806,-1385.3636676554934
Above,-87.59426846291117,-1443.2844418065702
Above,-89.37169055331827,-1428.9572881257877
Above,-89.61448018288756,-1435.401139352268
Above,-88.99358766463142,-1521.5222245464574
Above,-88.70654818799412,-1521.2052305552263
Above,-87.77736945432527,-1518.8847135081246
Above,-86.7291506508591,-1404.1804982708263
Above,-89.30963194612619,-1419.1479920046263
Above,-88.78574113445923,-1415.561789631457
Above,-89.17100164164778,-1403.2523295637823
Above,-88.12609596502077,-1429.3411925620005
Above,-88.83665612768138,-1418.872346419175
Above,-89.04703294610135,-1530.3676385826197
Above,-89.14250978214041,-1519.719644703137
Above,-91.64338158610224,-1514.9846812756975
Above,-90.25747605830391,-1516.927386452107
Above,-91.24325629324308,-1524.4889173419635
Above,-89.72428006497964,-1523.3251465825447
Above,-90.40571489094202,-1521.7006420757655
Above,-90.28544667428011,-1520.238942843989
Above,-89.79356481254146,-1519.0442888836135
Above,-90.71849216671458,-1525.4863938617225
Above,-90.18114022206383,-1524.9273091825355
Above,-88.84263752082583,-1529.2184632805179
Above,-89.35479800421,-1523.749562151239
Above,-89.40888590892256,-1525.0092874656316
WholePlant,-88.53875592285465,-1462.2457977859249
WholePlant,-86.51035042486487,-1484.5875712321845
WholePlant,-85.015334800591,-1503.2158169617257
Above,-81.4313105737404,-1490.099386199443
Above,-81.23173982606419,-1516.9851431064683
Below,-80.84805653294343,-1550.8466548365946
Below,-79.41295351112922,-1553.3732791373134
Above,-83.35064377194927,-1490.0285885710166
Above,-86.06508602210425,-1472.756960332979
Above,-79.54808624354462,-1503.1851634603004
Above,-82.72245473411205,-1474.5855447202161
Above,-78.47805253943012,-1492.1604521189934
Above,-86.33661074734303,-1440.3303682975813
Above,-83.09020962091579,-1460.5355483742037
Above,-86.03143712791598,-1428.7685630380167
Above,-86.41279036615492,-1449.6072733644824
Above,-86.46044664183472,-1401.8629612936707
Above,-87.01746587437283,-1391.0613171016685
Above,-87.40604383080222,-1396.6745349606663
Above,-72.3663064331868,-1505.3443125113326
Above,-84.41593057238507,-1447.5919351493037
Above,-82.65065523298753,-1422.1852031557537
Above,-85.73385958572793,-1390.8087335401883
WholePlant,-85.33121840072808,-1526.4140628124194
WholePlant,-85.01730400361097,-1521.5740147177057
WholePlant,-85.26775603902081,-1527.8296735111585
WholePlant,-77.13158548521655,-1557.3795264541084
WholePlant,-77.82681350859299,-1552.013133440216
WholePlant,-78.14441681776196,-1557.2937644867056
WholePlant,-76.46650667338143,-1566.9029547542148
WholePlant,-75.82168280395595,-1570.4547219250949
WholePlant,-76.78569083649808,-1567.0596519690932
Above,-83.50428842487558,-1527.0127683814371
Above,-85.19330145322532,-1536.207009649623
Below,-80.7268532246558,-1561.5328888060178
Above,-85.89841886369521,-1508.8542686301937
Above,-82.40225503000165,-1504.4037042828975
Above,-86.97543302038108,-1412.6230857544783
Above,-87.57200955248342,-1397.0875910898317
Above,-87.76885437507488,-1388.735079345748
Above,-88.33863881768961,-1442.3508757379616
Above,-88.80582486848913,-1439.4850325607238
Above,-88.68722838710876,-1431.0535663795724
Above,-88.0427520793638,-1373.3238094159708
Above,-88.25184537112361,-1367.2957449620424
Above,-88.50252081304345,-1374.3344050344792
Above,-88.20214792978624,-1393.8580090664236
Above,-86.49262981194092,-1424.1149344564342
Above,-87.02051020687597,-1406.285825797853
Above,-88.9279386170902,-1495.571653580167
Above,-89.02840414867757,-1500.6861835406244
Above,-88.9914181239104,-1512.223667233217
Above,-87.97215680968966,-1455.125004571835
Above,-87.19257960975087,-1454.1773807330044
Above,-87.2192775051963,-1457.9041548536447
Above,-87.4526492689943,-1431.7903912823458
Above,-87.96860627740898,-1441.6072968928927
Above,-89.01918672498618,-1423.543353395856
Above,-86.88345267319528,-1417.553915194575
Above,-86.75760719400843,-1421.3535045715014
Above,-87.43563127685022,-1390.6913526017895
Above,-87.44293725186466,-1432.01497307006
Above,-88.49068248311784,-1419.040040379278
Above,-87.875591404315,-1429.3187014262621
Above,-89.33160045752543,-1410.2841238311707
Above,-89.52537939152856,-1409.2508937175219
Above,-88.79781311076165,-1430.3536946678691
Above,-88.16377011676141,-1427.3089243255324
Above,-88.19858392866564,-1423.410271134544
Above,-88.52220719561427,-1417.2614212334531
Above,-87.21228974578364,-1402.2621120314436
Above,-86.87366268735256,-1411.3281741697342
Above,-87.30058778624563,-1395.715561134331
Above,-87.75365787346074,-1378.238310384761
Above,-87.84118158874627,-1379.0681303296415
Above,-88.00406220157068,-1368.9099214967698
Above,-88.16174039311791,-1389.9341919872352
Above,-88.13658163505379,-1386.0132786779056
Above,-87.9039557191045,-1406.8230918620072
Above,-85.71230947039619,-1432.9832140027218
Above,-85.22778312295989,-1440.443870369366
Above,-86.32164000221624,-1425.5979966199295
Above,-87.94872417638878,-1365.4694456343905
Above,-87.56244742743263,-1377.6130957969976
Above,-87.7058427797183,-1383.7807280469224
Above,-88.93101983644058,-1408.807143533845
Above,-88.72936596990805,-1406.5055592680478
Above,-88.67427556268497,-1427.695440889872
Above,-87.7394027275285,-1397.1748575138708
Above,-88.64183135327016,-1397.488895425297
Above,-87.97832663780001,-1397.4104542928164
Above,-87.04311931205513,-1385.732973861423
Above,-86.90339842815148,-1381.0778692804583
Above,-87.21107726351347,-1389.0172151378338
Above,-87.42181018254841,-1391.7576746696582
Above,-87.9846622638939,-1388.6876669101007
Above,-87.42478652066765,-1416.1215020394034
Above,-87.51162338441156,-1389.2980222577157
Above,-87.26330373596186,-1387.8040522174824
Above,-85.88037491804099,-1402.7266235090924
Above,-88.00334840261621,-1431.2776242148768
Above,-87.56436318412315,-1428.769318047389
Above,-87.48487685169322,-1441.329999708487
Above,-85.58553555068063,-1471.0065832689575
Above,-85.50954507439032,-1467.4996987903494
Above,-84.91220982238767,-1479.372381031858
Above,-87.44563814532215,-1390.8556563856782
Above,-87.54014513899976,-1385.0952693184536
Above,-86.21263244297265,-1386.1266133455563
Above,-87.72382156208262,-1411.5238212278337
Above,-87.81534070074727,-1404.8953676898238
Above,-87.99518032131915,-1407.7479150035474
Above,-85.09264209003294,-1440.2797405015122
Above,-86.6947748881906,-1439.6165381860424
Above,-86.44164571944903,-1432.4794139404607
Above,-89.96690859613365,-1402.3237981113225
Above,-90.13370641932629,-1404.3493553760613
Above,-89.89864970090512,-1395.514025612259
Above,-89.26633622189104,-1399.5299279506635
Above,-88.59663582225461,-1416.4002335351247
Above,-89.80803294107027,-1409.749063372526
Above,-89.27186769505371,-1397.977461409214
Above,-88.85953863752151,-1397.6517086594708
Above,-90.28237136938316,-1398.4500583122322
Above,-90.41780886669281,-1395.848605214322
Above,-90.08985163634202,-1402.267147188829
Above,-89.05447079205652,-1400.2883835121004
Above,-89.90051712353402,-1396.384414672758
Above,-86.72431572288586,-1423.3771289327422
Above,-88.80986734760785,-1409.9871137798273
Above,-88.07610109121147,-1404.7567114677126
Above,-88.29521092078699,-1407.195701565765
Above,-89.80909838804678,-1423.206096427201
Above,-90.49266511580548,-1429.9417561870785
Above,-89.57576112804435,-1417.3571309964757
Above,-77.42243981222678,-1535.3512840313715
Above,-77.42736892129672,-1531.36857085265
Above,-78.63630796075492,-1535.16639165868
Above,-78.70305089120195,-1540.8721954561383
Above,-79.32418852746645,-1540.995508626316
Above,-78.17688427331358,-1541.3675664211528
Above,-79.79305892414453,-1534.3105821094528
Above,-79.27077913197611,-1534.584258281871
Above,-78.85813086657564,-1530.7588143100052
Above,-80.98423541786042,-1525.5591870038315
Above,-81.49061147121081,-1525.4218245429886
Above,-81.20739400871932,-1528.7067836385525
Above,-79.40485305652254,-1534.7227472389459
Above,-79.61563476322478,-1531.7386711536417
Above,-79.37285278187596,-1532.919351218856
Above,-80.1782187079185,-1536.5920061211266
Above,-81.14043809108534,-1533.5943852424693
Above,-80.92226492678492,-1535.7785257785165
Above,-80.64522990281681,-1533.0329670908147
Above,-80.87304129775792,-1533.132293479757
Above,-80.53728693431259,-1532.2094490046559
Above,-76.90087884912288,-1548.6096036032388
Above,-76.10944605992213,-1548.0589965782224
Above,-76.1074088963985,-1549.8257588441015
Above,-79.73442705495219,-1541.5701728278527
Above,-79.13826591584213,-1542.0222412265248
Above,-79.17407130050094,-1542.5680067977762
Above,-76.67266450593165,-1544.9148214697425
Above,-77.45672437856942,-1546.0502941611412
Above,-78.69706654310778,-1544.4603810109663
Above,-78.70043372803602,-1544.3265030895773
Above,-77.0480971713983,-1544.2220906327534
Above,-77.44292781399209,-1544.861034582431
Above,-77.2799311780861,-1540.7854256039043
Above,-78.07315603549955,-1541.895938332674
Above,-76.74377486197531,-1541.5120621874405
Above,-76.34288146653566,-1548.1295924663739
Above,-75.94138219341127,-1548.3116576238567
Above,-76.8446742972598,-1547.42404167509
Above,-78.45795303137163,-1545.7405225527493
Above,-78.15542377980296,-1548.5769895873746
Above,-78.14890148586669,-1548.9000638228558
Above,-79.38683797637408,-1558.9105819787553
Below,-81.88995802136787,-1557.8066009756799
Above,-81.44038922813317,-1546.3336565008567
Above,-82.19148526485864,-1549.7434644099017
Above,-82.62275272119233,-1551.4169279386301
Above,-81.93944504163244,-1558.4321407172165
Above,-82.46557435145934,-1550.5491921139503
Above,-78.57112183587603,-1558.9318259902818
Above,-84.20057218122692,-1511.2719969619598
Above,-78.37638132350057,-1564.437555174099
Above,-83.72004928662088,-1551.8286245785528
Above,-81.82459650792056,-1553.2699344308512
Above,-84.09554228926008,-1548.3579162979145
Above,-86.18860690839524,-1518.0851869874718
Above,-82.846786648007,-1544.2024282791672
Above,-82.59847828555003,-1544.5991704164524
Above,-82.9663449701367,-1549.8822594349544
Above,-83.14768440492813,-1542.9607500063455
Above,-84.90601019280281,-1525.6914257465623
Above,-84.88998052943573,-1531.7323558302319
Above,-83.59045544789511,-1535.8683771071246
Above,-83.25978630779308,-1545.370582093118
Above,-80.10184422766987,-1555.92428616543
Above,-82.42458625262938,-1538.8468665940677
Above,-85.66893859650523,-1529.5590894970294
Above,-82.42265755850106,-1520.1889697186937
Above,-81.91336871081349,-1532.1357358020966
Above,-80.73089390502619,-1542.7956219765804
Above,-84.74450401207976,-1425.9963756073757
Above,-77.89181406594076,-1556.556132930867
Below,-78.4758919283732,-1557.0119488230307
Below,-77.40174934122673,-1557.5128994046333
Below,-78.66286710427266,-1556.8843591930618
Above,-79.83529378353016,-1538.846809953509
Above,-79.6617166349486,-1539.56934948855
Above,-80.10446710976215,-1538.657008641933
Below,-87.66167168133359,-1603.7603318448062
Below,-87.9465844617021,-1604.1207281627665
Below,-91.79122522003901,-1605.7654959277825
Below,-88.70898529723225,-1605.540279509837
Above,-92.2596057003804,-1596.5430540977165
Above,-90.75163325964456,-1588.5177737091028
Above,-91.39707790561557,-1591.82300227237
Above,-92.48899703868001,-1596.6743042673602
Above,-79.26612373379126,-1539.421780960657
Above,-79.79250013821353,-1540.9903609606847
Above,-86.35584029384668,-1507.1658871342163
Above,-87.08755548501017,-1505.0896651101737
Above,-87.20512571585473,-1502.1088107147652
Above,-87.61493451181069,-1527.469022790311
Above,-90.32647944135424,-1522.249124188894
Above,-89.79226321500484,-1518.9636082710376
Above,-90.4941639445461,-1521.7913257113187
Above,-89.90016887032891,-1518.929030089959
Above,-88.89044088784746,-1525.3781987451807
Above,-88.09478173278319,-1550.4465812873768
Above,-88.37235216353437,-1550.4510040641082
Above,-88.34170148570911,-1550.2560787588193
Above,-88.32641614963299,-1550.4037373386498
Above,-88.39904601164693,-1549.3934723878613
Above,-88.45581284572258,-1550.7265214905683
Below,-85.64456113596025,-1564.026900736478
Below,-65.00852054058437,-1551.3602722540938
Below,-85.55516242382964,-1565.0261664550808
Above,-86.5169941612758,-1531.742675893799
Above,-85.96610752785837,-1527.889556420858
Above,-86.89821605721993,-1529.4904747428604
Above,-82.41305406279233,-1535.9721584829801
Above,-86.88335905693594,-1484.5670900860532
Above,-88.15748133858017,-1492.5082480633346
Above,-87.70938543391443,-1497.463824378523
Above,-82.31740958576063,-1529.7311860531065
Above,-83.63275670639055,-1529.8258170885977
Above,-90.54879580027043,-1505.4345208749048
Above,-90.31617297778928,-1503.7895346410667
Above,-90.2636767714411,-1506.02641854013
Above,-89.46929692544481,-1481.1019802927826
Above,-89.24298084586556,-1513.2265169879083
Above,-90.36203460301851,-1485.4986683799923
Above,-89.4949120384865,-1531.6390672486789
Above,-89.57691496144542,-1526.9411242615488
Above,-89.40677979362773,-1531.388344665327
Above,-88.01666881837646,-1548.0571860952937
Above,-88.28398599219163,-1548.0041037079736
Above,-88.71784182749944,-1548.6691891232913
Below,-87.37491007744747,-1565.9613059581122
Below,-87.54528928091206,-1565.9929406740025
Below,-87.51351501862602,-1566.5935664276249
Below,-83.00369470131832,-1558.8508377661544
Above,-88.16856302361158,-1544.1211483755294
Above,-88.21152045213749,-1543.0498985431477
Above,-87.47183738855658,-1539.477438603434
Above,-81.35311214650429,-1538.750059794984
Above,-84.33410715323127,-1543.222799743392
Above,-83.39617557854716,-1540.7201308682825
Above,-84.14746957155252,-1542.3800786589406
Above,-86.69848390887519,-1378.5934034744796
Above,-86.45982237775006,-1385.8520400669186
Above,-86.87323892231247,-1376.9605500495168
Below,-84.98491658606152,-1558.8439090131856
Below,-85.4207139597944,-1559.272222243714
Below,-85.43303857460705,-1560.9728831039156
Above,-83.9796603712747,-1474.0053446947222
Above,-84.30580110349251,-1478.0512440866587
Above,-85.18824131979456,-1467.8117657278647
Below,-84.20131725987828,-1558.8319735532452
Below,-84.26475989285854,-1556.2119688497778
Below,-84.30368470616786,-1555.3716964410492
Above,-87.02925390413965,-1547.0043368964402
Above,-84.830517507655,-1546.969579705856
Above,-89.17732931030245,-1541.3575224265992
Above,-87.1122109570098,-1549.7524297124978
Below,-81.20168458056051,-1554.3731948369143
Below,-82.28187437457275,-1557.2804822359572
Below,-81.84986190613839,-1559.0770477501208
Below,-81.85627027579196,-1558.9806311086838
Below,-80.75833864620117,-1555.841385728153
Below,-80.96141690574794,-1556.1158738380232
Below,-80.40996024276646,-1558.648450081314
Below,-81.32016864674426,-1557.4951388307136
Above,-82.66607799990105,-1459.2279688434407
Above,-82.89257833223081,-1448.015117758094
Above,-81.3269112514598,-1488.5903798085365
Above,-81.5959043726888,-1489.1684178433864
Above,-84.08083486975994,-1421.3280504090324
Above,-83.96995168754646,-1423.2765519614395
Above,-83.00597959323683,-1467.3926468172804
Above,-82.45219368729204,-1471.4150883930652
Above,-83.5797070163368,-1440.843836702855
Above,-82.83058793504024,-1447.57969229486
Above,-79.73803580517743,-1532.4897972206884
Above,-79.6355931885214,-1531.1858153347273
Above,-82.04902514840235,-1515.7290563833717
Above,-82.85569131244432,-1508.904504696657
Above,-82.37635380684068,-1446.840708408342
Above,-81.92105605179444,-1444.5736956636324
Above,-86.04284831625665,-1378.8463190277564
Above,-81.21118121569667,-1497.4090661487312
Above,-88.03529049418559,-1368.7900146208838
Above,-86.45051885011661,-1442.0354543398112
Above,-85.73993426824607,-1445.6689802677747
Above,-86.72644839889468,-1422.157557197403
Above,-90.15180314837968,-1560.42165396183
Above,-90.85791982994134,-1563.1123922097122
Above,-90.40880133120451,-1562.6449263826482
Above,-88.27759933642025,-1554.1037655364732
Above,-88.91186964795901,-1555.3502585930105
Above,-89.48968637728152,-1555.0555077287152
Above,-86.47772611063232,-1557.116338251568
Above,-87.73900455313343,-1560.289542709013
Above,-86.35106053682733,-1558.9344328325162
Above,-91.18026904735657,-1562.55353878685
Above,-88.0156756756049,-1559.308043708382
Above,-90.72504230003938,-1562.4192344023988
Above,-86.13407907937834,-1552.2328729546853
Above,-85.37789571656717,-1551.1819880381765
Above,-86.73903259053886,-1552.231200096559
Above,-87.92555186297704,-1553.879460355533
Above,-87.71106990036974,-1553.7582269637446
Above,-88.68911996353005,-1554.8177428443057
Above,-88.26592268928499,-1556.7564046948448
Above,-88.35110549326907,-1556.7750872685249
Above,-88.93561934771517,-1547.430879562645
Above,-88.88821054592334,-1547.4773696746568
Above,-88.00730430208921,-1558.8936541155276
Above,-87.9954714908433,-1558.9128260076477
Above,-89.26177426521305,-1557.8843000862075
Above,-89.26258059841763,-1557.9717834826708
WholePlant,-81.70187138642889,-1558.7154720828307
WholePlant,-82.1599384867636,-1557.70648031168
WholePlant,-82.09633901182389,-1557.1580414267974
WholePlant,-71.50170605814893,-1560.5709692180678
WholePlant,-72.47215011743735,-1561.4284441330776
WholePlant,-71.63486069482569,-1556.7907850350266
WholePlant,-73.60663568341866,-1567.0262701003212
WholePlant,-72.95399771831221,-1567.3706274307253
WholePlant,-72.86878085138524,-1569.6110339993902
WholePlant,-77.14065154699746,-1572.5209729233998
WholePlant,-77.3032229763392,-1570.059845964832
WholePlant,-78.25289758515855,-1571.646610733732
Above,-91.68788938184187,-1495.1701465588314
Above,-91.45245827619809,-1497.5640773300574
Above,-91.35044013673276,-1489.3281980261022
Below,-86.46349167892612,-1561.2585959509906
Below,-87.23047724037303,-1556.1615391356718
Below,-85.6186092607766,-1565.4873331451624
Below,-84.15116636107133,-1568.3482056561975
Above,-90.26528731545679,-1529.818403836578
Above,-90.56338653585159,-1526.717957607036
Above,-90.10740587424826,-1528.949267106433
Above,-89.91425993835043,-1525.242683054987
