SampleID,family,tissue,stress,AboveBelow,VegetativeRepro,PC1,PC2
SRR5293264,Amborellaceae,stem,healthy,Above,Vegetative,-39.75176585796504,-25.074725012000368
SRR5293266,Amborellaceae,flower,healthy,Above,Reproductive,-18.132981689305783,-37.484912554304124
SRR5293267,Amborellaceae,flower,healthy,Above,Reproductive,-52.660822699677425,-39.15066500839682
SRR5293268,Amborellaceae,seedling,healthy,WholePlant,WholePlant,-29.161335511948806,5.0995855082337105
SRR5293269,Amborellaceae,flower,healthy,Above,Reproductive,3.2877059867926492,-40.270820722060314
SRR5293270,Amborellaceae,flower,healthy,Above,Reproductive,-37.03793610173309,-46.3417134710197
SRR5293271,Amborellaceae,seedling,healthy,WholePlant,WholePlant,-26.345700517869314,-2.2303644598291523
SRR5293272,Amborellaceae,fruit,healthy,Above,Reproductive,-4.958934424563552,-20.10848140223614
SRR5293273,Amborellaceae,flower,healthy,Above,Reproductive,-31.734923394839203,-40.124070732465114
SRR5293274,Amborellaceae,flower,healthy,Above,Reproductive,-45.34842218663881,-36.105160883552216
SRR5293275,Amborellaceae,seedling,healthy,WholePlant,WholePlant,-36.671695368930784,2.2182936592135016
SRR5293276,Amborellaceae,flower,healthy,Above,Reproductive,-19.703348156592018,-37.77415478743521
SRR5293277,Amborellaceae,flower,healthy,Above,Reproductive,-42.63945829399951,-34.96816828641024
SRR5293278,Amborellaceae,seedling,healthy,WholePlant,WholePlant,-25.033727376082748,-15.282343406689302
SRR522511,Poaceae,leaf,healthy,Above,Vegetative,264.09785034696074,-2.3989985317921616
SRR522512,Poaceae,leaf,healthy,Above,Vegetative,308.33698872287664,-5.733276014199183
SRR522513,Poaceae,leaf,drought,Above,Vegetative,267.55530132065047,-3.2194853998477475
SRR522514,Poaceae,leaf,drought,Above,Vegetative,276.97402288510375,-9.380465980200356
SRR522515,Poaceae,leaf,healthy,Above,Vegetative,187.56429458825562,-18.12558244580007
SRR522516,Poaceae,leaf,healthy,Above,Vegetative,189.94184291450907,-16.41909467538055
SRR522517,Poaceae,leaf,drought,Above,Vegetative,238.30041329090747,-19.842801589130612
SRR522518,Poaceae,leaf,drought,Above,Vegetative,265.1532046848267,-18.564750538341826
SRR5012158,Poaceae,flower,heat,Above,Reproductive,48.20112928438773,3.061782011823774
SRR5012165,Poaceae,flower,heat,Above,Reproductive,66.57632017041536,-2.5559892221049907
SRR5012159,Poaceae,leaf,heat,Above,Vegetative,25.84294472333548,-1.2328510878591414
SRR5012161,Poaceae,leaf,heat,Above,Vegetative,52.020330455440984,21.667556068179255
SRR5012160,Poaceae,flower,healthy,Above,Reproductive,54.18171248767928,-5.579734859186774
SRR5012169,Poaceae,flower,healthy,Above,Reproductive,96.15583719448227,-0.10560447655382199
SRR5012162,Poaceae,leaf,healthy,Above,Vegetative,30.32519101601524,19.136992217372388
SRR5012164,Poaceae,leaf,healthy,Above,Vegetative,18.94536681178864,-3.3254964485914456
SRR5012163,Poaceae,leaf,heat,Above,Vegetative,29.40068997052893,11.322998166772367
SRR5012166,Poaceae,leaf,heat,Above,Vegetative,122.60670091788234,8.063034647141029
SRR5012167,Poaceae,leaf,healthy,Above,Vegetative,59.14625069788442,21.580786841388335
SRR5012168,Poaceae,leaf,healthy,Above,Vegetative,118.49878026167272,13.993540978908857
SRR349785,Poaceae,leaf,healthy,Above,Vegetative,70.30598108348629,54.465931476323355
SRR352143,Poaceae,leaf,healthy,Above,Vegetative,64.02700229026244,44.49858995620976
SRR349786,Poaceae,flower,healthy,Above,Reproductive,13.103185218205189,-27.111369268108035
SRR349787,Poaceae,flower,healthy,Above,Reproductive,14.870790251358148,-4.852380577311208
SRR352137,Poaceae,flower,healthy,Above,Reproductive,33.64217958439857,-39.23422433559942
SRR352138,Poaceae,seed,healthy,WholePlant,Reproductive,80.04645106836239,-52.7712701687931
SRR352144,Poaceae,seed,healthy,WholePlant,Reproductive,96.66933300410491,-52.599497762913934
SRR352139,Poaceae,seed,healthy,WholePlant,Reproductive,28.44601772273567,-23.042965662655835
SRR352140,Poaceae,flower,healthy,Above,Reproductive,55.15761223345628,-55.75599480724927
SRR352141,Poaceae,seed,healthy,WholePlant,Reproductive,77.7712844085685,-23.042211473319842
SRR352142,Poaceae,seed,healthy,WholePlant,Reproductive,98.64794278108204,-12.780383935174836
SRR10238151,Cucurbitaceae,fruit,healthy,Above,Reproductive,-37.9019609354576,-41.488527299680854
SRR10238165,Cucurbitaceae,fruit,healthy,Above,Reproductive,-42.283632298226856,-42.444150087170314
SRR10238166,Cucurbitaceae,fruit,healthy,Above,Reproductive,-41.68215219793959,-42.71345254609291
SRR10238152,Cucurbitaceae,fruit,healthy,Above,Reproductive,16.28310409832526,-50.62853546386858
SRR10238153,Cucurbitaceae,fruit,healthy,Above,Reproductive,21.630491010965486,-49.87697182094406
SRR10238154,Cucurbitaceae,fruit,healthy,Above,Reproductive,30.83856174401846,-48.7861017422255
SRR10238155,Cucurbitaceae,fruit,healthy,Above,Reproductive,-14.310618567965815,-39.14466086443565
SRR10238156,Cucurbitaceae,fruit,healthy,Above,Reproductive,-14.247699681757432,-39.040410008402425
SRR10238157,Cucurbitaceae,fruit,healthy,Above,Reproductive,-14.239399592710024,-39.190035611040074
SRR10238158,Cucurbitaceae,fruit,healthy,Above,Reproductive,-41.312410451207995,-39.56696492622219
SRR10238167,Cucurbitaceae,fruit,healthy,Above,Reproductive,-31.06048937547427,-38.76873286472416
SRR10238168,Cucurbitaceae,fruit,healthy,Above,Reproductive,-40.00461974099702,-39.760580491433466
SRR10238159,Cucurbitaceae,fruit,healthy,Above,Reproductive,12.74019363158316,-50.9161589184543
SRR10238160,Cucurbitaceae,fruit,healthy,Above,Reproductive,11.58869550103495,-51.30238677932071
SRR10238161,Cucurbitaceae,fruit,healthy,Above,Reproductive,11.496130706964719,-51.37780963893128
SRR10238162,Cucurbitaceae,fruit,healthy,Above,Reproductive,49.921272110797766,-35.094837529795434
SRR10238163,Cucurbitaceae,fruit,healthy,Above,Reproductive,9.116564202212091,-39.283878789269146
SRR10238164,Cucurbitaceae,fruit,healthy,Above,Reproductive,1.7972318392044748,-40.692015953364766
SRR8758652,Cucurbitaceae,leaf,drought,Above,Vegetative,-20.497038530957504,-8.650758148340433
SRR8758655,Cucurbitaceae,leaf,drought,Above,Vegetative,-18.19581331909238,-9.293268179458481
SRR8758659,Cucurbitaceae,leaf,drought,Above,Vegetative,-22.151569740156095,-5.977188531432216
SRR8758653,Cucurbitaceae,leaf,healthy,Above,Vegetative,-20.414013449368728,8.142984786340978
SRR8758656,Cucurbitaceae,leaf,healthy,Above,Vegetative,-21.90684331915614,9.803735023067912
SRR8758658,Cucurbitaceae,leaf,healthy,Above,Vegetative,-21.11273308506068,10.70648745680782
SRR8758654,Cucurbitaceae,leaf,drought,Above,Vegetative,-29.49278950771995,3.048350542788924
SRR8758660,Cucurbitaceae,leaf,drought,Above,Vegetative,-29.453298006389982,2.2341204029215898
SRR8758661,Cucurbitaceae,leaf,drought,Above,Vegetative,-29.25301561107459,2.1491253744367604
SRR8758657,Cucurbitaceae,leaf,healthy,Above,Vegetative,-17.165269452714178,-5.314073218219087
SRR8758662,Cucurbitaceae,leaf,healthy,Above,Vegetative,-20.3358403158904,-0.037723020760854986
SRR8758663,Cucurbitaceae,leaf,healthy,Above,Vegetative,-16.734974542128114,-1.3869477018631091
SRR8464307,Cucurbitaceae,leaf,heat,Above,Vegetative,-2.6389134107211354,17.99118924017263
SRR8464315,Cucurbitaceae,leaf,heat,Above,Vegetative,-2.5739450741384817,16.719665127447644
SRR8464316,Cucurbitaceae,leaf,heat,Above,Vegetative,4.852465365386636,18.731374355676568
SRR8464308,Cucurbitaceae,leaf,heat,Above,Vegetative,3.381995720969192,16.601010995134764
SRR8464323,Cucurbitaceae,leaf,heat,Above,Vegetative,-4.788589687652169,15.001029356003928
SRR8464324,Cucurbitaceae,leaf,heat,Above,Vegetative,-0.08780182643594281,16.97356435385503
SRR8464309,Cucurbitaceae,leaf,healthy,Above,Vegetative,21.97792979947797,25.047496817784445
SRR8464310,Cucurbitaceae,leaf,healthy,Above,Vegetative,21.15450610012731,29.067855813793628
